,index,firing_rate,condition,neuron_id
174,174,24.42655696154747,92.0,data_sdc_20190902_145404_fromSD_N0
175,175,27.172275297131886,92.0,data_sdc_20190902_145404_fromSD_N0
176,176,18.31782741441491,92.0,data_sdc_20190902_145404_fromSD_N0
177,177,27.967347794363857,92.0,data_sdc_20190902_145404_fromSD_N0
178,178,18.669864870384515,92.0,data_sdc_20190902_145404_fromSD_N0
179,179,25.224537440450344,92.0,data_sdc_20190902_145404_fromSD_N0
180,180,18.908588707627242,92.0,data_sdc_20190902_145404_fromSD_N0
181,181,15.841992577233679,92.0,data_sdc_20190902_145404_fromSD_N0
182,182,25.65400503340231,92.0,data_sdc_20190902_145404_fromSD_N0
183,183,25.188654743734737,92.0,data_sdc_20190902_145404_fromSD_N0
184,184,25.62736894796978,92.0,data_sdc_20190902_145404_fromSD_N0
185,185,23.83177588099627,92.0,data_sdc_20190902_145404_fromSD_N0
186,186,21.281420886129585,92.0,data_sdc_20190902_145404_fromSD_N0
187,187,26.609937440597356,92.0,data_sdc_20190902_145404_fromSD_N0
188,188,20.61930565444193,92.0,data_sdc_20190902_145404_fromSD_N0
189,0,26.532045147410972,60.0,data_sdc_20190902_145404_fromSD_N1
190,1,20.120133525766715,60.0,data_sdc_20190902_145404_fromSD_N1
191,2,32.39275011786339,60.0,data_sdc_20190902_145404_fromSD_N1
192,3,14.198363437033047,60.0,data_sdc_20190902_145404_fromSD_N1
193,4,18.489259334216374,60.0,data_sdc_20190902_145404_fromSD_N1
194,5,29.39906628704031,60.0,data_sdc_20190902_145404_fromSD_N1
195,6,24.094024763008758,60.0,data_sdc_20190902_145404_fromSD_N1
196,7,23.964225004775287,60.0,data_sdc_20190902_145404_fromSD_N1
197,8,18.24646534935088,60.0,data_sdc_20190902_145404_fromSD_N1
198,9,13.236301668567396,60.0,data_sdc_20190902_145404_fromSD_N1
199,10,21.686696847555357,60.0,data_sdc_20190902_145404_fromSD_N1
200,11,22.390885804409233,60.0,data_sdc_20190902_145404_fromSD_N1
201,12,22.972142032458226,60.0,data_sdc_20190902_145404_fromSD_N1
202,13,17.478079320688128,60.0,data_sdc_20190902_145404_fromSD_N1
203,14,22.281334182623105,60.0,data_sdc_20190902_145404_fromSD_N1
204,15,13.780720215852277,60.0,data_sdc_20190902_145404_fromSD_N1
205,16,20.5879583962483,60.0,data_sdc_20190902_145404_fromSD_N1
206,17,24.8906500114272,60.0,data_sdc_20190902_145404_fromSD_N1
207,18,21.61562025528893,68.0,data_sdc_20190902_145404_fromSD_N1
208,19,24.68846766231832,68.0,data_sdc_20190902_145404_fromSD_N1
209,20,20.692546641529734,68.0,data_sdc_20190902_145404_fromSD_N1
210,21,21.05273978503253,68.0,data_sdc_20190902_145404_fromSD_N1
211,22,24.927637516708216,68.0,data_sdc_20190902_145404_fromSD_N1
212,23,21.817568344166393,68.0,data_sdc_20190902_145404_fromSD_N1
213,24,18.663729503456487,68.0,data_sdc_20190902_145404_fromSD_N1
214,25,18.942105067816804,68.0,data_sdc_20190902_145404_fromSD_N1
215,26,19.24920855879164,68.0,data_sdc_20190902_145404_fromSD_N1
216,27,17.013459614038805,68.0,data_sdc_20190902_145404_fromSD_N1
217,28,17.279174897729963,68.0,data_sdc_20190902_145404_fromSD_N1
218,29,20.244837654197944,68.0,data_sdc_20190902_145404_fromSD_N1
219,30,19.7512984119664,68.0,data_sdc_20190902_145404_fromSD_N1
220,31,19.047363974702094,68.0,data_sdc_20190902_145404_fromSD_N1
221,32,16.337504579419452,68.0,data_sdc_20190902_145404_fromSD_N1
222,33,29.34207120656655,68.0,data_sdc_20190902_145404_fromSD_N1
223,34,18.18539115710252,68.0,data_sdc_20190902_145404_fromSD_N1
224,35,18.754486946591076,68.0,data_sdc_20190902_145404_fromSD_N1
225,36,21.06743531773973,68.0,data_sdc_20190902_145404_fromSD_N1
226,37,18.948540034857338,68.0,data_sdc_20190902_145404_fromSD_N1
227,38,15.304227387386264,68.0,data_sdc_20190902_145404_fromSD_N1
228,39,20.130626393973998,68.0,data_sdc_20190902_145404_fromSD_N1
229,40,30.10432126918057,68.0,data_sdc_20190902_145404_fromSD_N1
230,41,14.199366264758327,68.0,data_sdc_20190902_145404_fromSD_N1
231,42,18.154127704572055,68.0,data_sdc_20190902_145404_fromSD_N1
232,43,25.445897293086233,68.0,data_sdc_20190902_145404_fromSD_N1
233,44,30.86657522531452,68.0,data_sdc_20190902_145404_fromSD_N1
234,45,25.381838547914732,68.0,data_sdc_20190902_145404_fromSD_N1
235,46,17.424081739984263,68.0,data_sdc_20190902_145404_fromSD_N1
236,47,19.22383247108714,68.0,data_sdc_20190902_145404_fromSD_N1
237,48,19.07473172941353,68.0,data_sdc_20190902_145404_fromSD_N1
238,49,20.966827644757156,68.0,data_sdc_20190902_145404_fromSD_N1
239,50,17.90644001147359,68.0,data_sdc_20190902_145404_fromSD_N1
240,51,21.189085485149704,68.0,data_sdc_20190902_145404_fromSD_N1
241,52,14.383712043696214,68.0,data_sdc_20190902_145404_fromSD_N1
242,53,12.818877085575714,68.0,data_sdc_20190902_145404_fromSD_N1
